Actual,Predicted
16884.924,25292.914
1725.5522,3448.446
4449.462,6706.863
21984.47,3754.8003
3866.8552,5592.3765
3756.6216,3719.7996
8240.59,10659.889
7281.5054,8047.7446
6406.4106,8502.816
28923.137,11884.64
2721.3208,3245.067
27808.725,35716.97
1826.843,4545.8384
11090.718,14916.979
39611.758,31968.18
1837.237,669.9165
10797.336,12333.727
2395.1716,1925.7926
10602.385,15023.412
36837.47,30497.055
13228.847,15685.344
4149.736,6272.2583
1137.011,3084.8865
37701.875,31944.824
6203.902,7537.6587
14001.134,13009.947
14451.835,12073.721
12268.632,13903.524
2775.1921,-142.76027
38711.0,32044.074
35585.574,28543.922
2198.19,1610.5275
4687.797,4059.855
13770.098,13361.733
51194.56,30831.922
1625.4337,-614.5852
15612.193,16241.483
2302.3,703.5708
39774.277,33681.523
48173.36,39763.117
3046.062,3248.3599
4949.759,8364.447
6272.477,5289.481
6313.759,7928.193
6079.6714,10733.069
20630.283,13749.01
3393.3564,6750.379
3556.9224,6693.9673
12629.896,10758.361
38709.176,32404.902
2211.1309,4768.294
3579.8286,5460.2515
23568.271,33120.027
37742.574,31668.242
8059.679,9140.549
47496.496,39808.543
13607.369,14704.824
34303.168,27062.973
23244.791,32724.105
5989.5234,10056.106
8606.218,9681.695
4504.6626,6635.6265
30166.62,12869.644
4133.6416,4172.7993
14711.744,24298.133
1743.214,1784.1663
14235.072,16982.941
6389.378,7252.7554
5920.104,9575.98
17663.145,27495.387
16577.78,26204.492
6799.458,7937.006
11741.726,11672.561
11946.626,13125.928
7726.854,8516.635
11356.661,13753.892
3947.413,4987.4087
1532.4697,4340.4966
2755.021,7213.5107
6571.0244,9420.94
4441.2134,5487.2773
7935.291,12605.758
37165.164,29629.66
11033.662,15924.241
39836.52,33207.734
21098.555,31700.48
43578.938,36766.418
11073.176,10711.42
8026.6665,8933.029
11082.577,10987.0
2026.9741,5814.9155
10942.132,10207.659
30184.938,38477.17
5729.0054,9311.706
47291.055,38955.848
3766.8838,7454.1636
12105.32,12845.207
10226.284,14006.516
22412.648,32929.03
15820.699,27125.062
6186.127,8350.896
3645.0894,4271.5967
21344.848,2899.4111
30942.191,38117.797
5003.853,5637.719
17560.379,26543.46
2331.519,2090.0647
3877.3042,5678.851
