Actual,Predicted
16884.924,22557.957
1725.5522,5691.615
4449.462,4332.0474
21984.47,6669.833
3866.8552,6677.166
3756.6216,6114.169
8240.59,8688.499
7281.5054,7356.0137
6406.4106,9039.695
28923.137,13451.658
2721.3208,3400.43
27808.725,29851.002
1826.843,2995.9553
11090.718,12280.622
39611.758,41785.32
1837.237,4515.3467
10797.336,12761.683
2395.1716,2628.102
10602.385,11116.177
36837.47,38482.957
13228.847,15310.192
4149.736,5782.4497
1137.011,1753.6619
37701.875,35215.117
6203.902,7232.6084
14001.134,16677.525
14451.835,15038.422
12268.632,12914.333
2775.1921,5936.2783
38711.0,39626.176
35585.574,35747.656
2198.19,2552.9783
4687.797,5071.961
13770.098,14594.202
51194.56,41795.84
1625.4337,2290.7104
15612.193,15686.628
2302.3,3497.1501
39774.277,41827.227
48173.36,54435.11
3046.062,3145.6804
4949.759,5276.833
6272.477,8013.1245
6313.759,6292.992
6079.6714,7949.332
20630.283,11615.286
3393.3564,6460.093
3556.9224,4048.0774
12629.896,17873.705
38709.176,37691.94
2211.1309,3701.634
3579.8286,9070.88
23568.271,30231.15
37742.574,36429.277
8059.679,7330.691
47496.496,47524.098
13607.369,15970.09
34303.168,32196.893
23244.791,22378.973
5989.5234,9069.393
8606.218,9162.569
4504.6626,4375.503
30166.62,19492.004
4133.6416,6153.7275
14711.744,16212.799
1743.214,2893.921
14235.072,17364.418
6389.378,7217.637
5920.104,5694.636
17663.145,18472.545
16577.78,19155.61
6799.458,8737.158
11741.726,14344.011
11946.626,13594.624
7726.854,7015.566
11356.661,12002.921
3947.413,4430.555
1532.4697,1952.5911
2755.021,4286.877
6571.0244,7523.6377
4441.2134,7535.5645
7935.291,10173.121
37165.164,37887.098
11033.662,14154.5625
39836.52,37912.24
21098.555,22577.252
43578.938,36166.88
11073.176,12112.062
8026.6665,7791.427
11082.577,11179.541
2026.9741,3243.401
10942.132,12743.454
30184.938,35890.293
5729.0054,6938.7236
47291.055,42480.316
3766.8838,4776.9844
12105.32,13843.399
10226.284,11340.891
22412.648,23369.74
15820.699,16278.267
6186.127,6753.588
3645.0894,3901.877
21344.848,3567.2832
30942.191,38056.465
5003.853,4073.1252
17560.379,21202.852
2331.519,3688.5063
3877.3042,6890.2744
2867.1196,3355.916
47055.53,46779.746
10825.254,12767.959
11881.358,15761.745
4646.759,8582.18
2404.734,2169.4563
11488.317,12593.967
30259.996,14282.159
11381.325,12494.833
19107.78,20839.969
8601.329,11782.485
6686.431,8074.6836
7740.337,7240.5195
1705.6245,2302.1963
2257.4753,2510.2522
39556.496,36478.74
10115.009,10435.165
3385.3992,4011.7815
17081.08,23201.57
9634.538,9602.963
32734.186,20749.107
6082.405,5768.6016
12815.445,13435.073
13616.358,14412.315
11163.568,14757.266
1632.5645,1835.1047
2457.2112,3055.8567
2155.6814,4014.7434
1261.442,2137.893
2045.6853,2879.9666
27322.734,16016.354
2166.732,2919.6536
27375.904,7621.322
3490.549,6203.9395
18972.494,20446.857
18157.877,6676.1943
20745.988,24782.002
5138.257,4067.4875
40720.55,34070.91
9877.607,10352.827
10959.694,13660.409
1842.519,3617.5767
5125.216,6638.7705
7789.635,10026.093
6334.3438,10732.216
19964.746,20345.59
7077.1895,8447.97
6948.7007,9437.878
21223.676,23383.06
15518.181,16405.477
36950.258,35725.39
19749.383,13194.702
21348.705,24979.71
36149.484,34453.45
10450.552,10253.688
5152.134,5255.503
5028.1465,7029.34
10407.086,10822.455
4830.63,7003.9004
6128.7974,7908.161
2719.2798,4161.3105
4827.905,6153.211
13405.391,14317.722
8116.68,10403.181
1694.7964,1799.8464
5246.047,6128.861
2855.4375,3036.672
48824.45,52264.273
6455.863,7639.1455
10436.096,10774.882
8823.279,10917.687
8538.288,12267.264
11735.879,12414.037
1631.8212,3048.442
4005.4226,6417.583
7419.478,7201.0503
7731.4272,10113.362
43753.336,45948.625
3981.9768,4781.3086
5325.651,5475.347
6775.961,6849.915
4922.916,7637.747
12557.605,16231.725
4883.866,5282.293
2137.6536,2851.5715
12044.342,13721.43
1137.4697,1661.7968
1639.5631,1441.5413
5649.715,6782.251
8516.829,9501.272
9644.253,10277.721
14901.517,16172.336
2130.6758,2055.7356
8871.151,9749.3
13012.209,13456.071
37133.9,35971.75
7147.105,9029.172
4337.7354,9305.399
11743.299,14971.179
20984.094,25500.48
13880.949,16013.875
6610.11,8105.3467
1980.07,2273.78
8162.7163,9837.871
3537.703,7069.3647
5002.7827,5367.409
8520.026,10449.936
7371.772,6740.884
10355.641,10272.738
2483.736,4533.104
3392.9768,4306.1953
25081.768,7702.1787
5012.471,5829.443
10564.885,13476.565
5253.524,4838.5264
34779.613,33788.56
19515.541,21523.344
11987.168,14435.236
2689.4954,3510.5225
24227.338,13084.639
7358.176,10433.265
9225.257,10425.311
7443.643,10202.174
14001.287,16688.398
1727.785,1944.9114
12333.828,11641.131
6710.192,8144.1016
19444.266,17073.484
1615.7667,3805.513
4463.205,4253.787
17352.68,22683.07
7152.6714,7918.9917
38511.63,40722.816
5354.0747,8176.0684
35160.133,13613.615
7196.867,8649.7705
29523.166,32731.98
24476.479,10792.112
12648.703,14441.39
1986.9333,2526.1672
1832.094,4571.617
4040.5583,7499.8887
12829.455,14381.103
47305.305,43964.242
44260.75,43025.336
4260.744,3360.2427
41097.16,37770.387
13047.332,13248.759
43921.184,38968.88
5400.9805,4654.4893
11520.1,13891.12
33750.293,27267.348
11837.16,13115.04
17085.268,20365.203
24869.836,25009.762
36219.406,35728.746
20462.998,14477.047
46151.125,48034.266
17179.521,15277.332
14590.632,15421.652
7441.053,8881.519
9282.48,9785.924
1719.4363,4578.8794
42856.84,43147.77
7265.7026,10031.427
9617.662,11430.598
2523.1694,3962.0027
9715.841,10090.383
2803.6978,7928.2456
2150.469,2954.7551
12928.791,15431.712
9855.132,13115.669
22331.566,25472.691
48549.18,48391.004
4237.1265,7338.2676
11879.1045,14709.519
9625.92,10151.309
7742.11,8222.933
9432.926,11115.278
14256.192,14812.332
47896.793,47714.19
25992.82,13267.274
3172.018,4686.451
20277.807,7723.9727
42112.234,45367.473
2156.7517,3718.9417
3906.127,3119.7341
1704.5681,2179.0447
16297.846,18342.93
21978.678,23731.111
38746.355,34938.113
9249.495,10860.243
6746.7427,7197.8057
24873.385,25030.02
12265.507,13631.242
4349.462,5484.3013
12646.207,15776.413
19442.354,6634.3125
20177.672,5691.9956
4151.029,4839.8115
11944.595,12957.589
7749.1562,8832.481
8444.474,10116.304
1737.376,2634.263
42124.516,41353.37
8124.408,9147.965
34838.87,29894.57
9722.77,10854.215
8835.265,9310.472
10435.065,11553.628
7421.1943,7180.744
4667.6074,6969.3115
4894.7534,6584.216
24671.664,9395.338
35491.64,31922.457
11566.301,12931.973
2866.091,4452.7666
6600.206,8321.253
3561.889,5889.9395
42760.504,41391.24
47928.03,47389.0
9144.565,11024.511
48517.562,47833.75
24393.623,26368.635
13429.035,13892.517
11658.379,12852.297
19144.576,11553.839
13822.803,14531.102
12142.578,15245.856
13937.666,17149.148
41919.098,39390.266
8232.639,9154.341
18955.22,3741.0178
13352.1,14299.852
13217.095,13776.554
13981.851,15348.5625
10977.206,11096.992
6184.2993,6934.286
4889.9995,5620.496
8334.458,9901.989
5478.0366,5359.7334
1635.7336,1656.886
11830.607,12096.563
8932.084,8846.698
3554.203,4526.493
12404.879,6079.6763
14133.038,3048.442
24603.049,9649.255
8944.115,9362.071
9620.331,10823.415
1837.2819,1668.7688
1607.5101,6812.326
10043.249,13125.077
4751.07,6928.4062
13844.506,17198.484
2597.779,3747.7583
3180.51,6241.332
9778.348,11716.032
13430.265,14487.606
8017.061,8844.3955
8116.269,9953.56
3481.868,7659.1807
13415.038,13917.137
12029.287,12806.098
7639.4175,10687.931
36085.22,33792.55
1391.5287,2272.9229
18033.969,25786.383
21659.93,22034.574
38126.246,38134.25
16455.707,15777.784
27000.984,16172.103
15006.579,15351.649
42303.69,37922.832
20781.488,12799.469
5846.9175,5203.7266
8302.536,9619.827
1261.859,1874.9365
11856.411,13334.45
30284.643,13313.792
3176.816,2545.219
4618.08,9046.996
10736.871,12213.316
2138.0708,1372.6536
8964.061,11916.257
9290.14,12551.036
9411.005,12701.168
7526.7065,6456.916
8522.003,9034.384
16586.498,2970.1833
14988.432,16144.087
1631.6683,3058.8748
9264.797,9541.028
8083.92,7655.7305
14692.669,15578.677
10269.46,11881.933
3260.199,5690.0283
11396.9,12079.449
4185.0977,6820.127
8539.671,9223.811
6652.529,7754.9375
4074.4536,6573.1333
1621.3402,2558.2737
19594.81,18722.674
14455.645,15004.693
5080.096,5871.5767
2134.9016,1743.4456
7345.7266,7349.9365
9140.951,11019.622
18608.262,17739.482
14418.28,15562.68
28950.469,30019.5
46889.26,45614.117
46599.11,47029.277
39125.332,37890.85
2727.395,5605.5728
8968.33,8611.767
9788.866,10563.754
6555.0703,8989.512
7323.735,3175.972
3167.4558,5442.1357
18804.752,8484.78
23082.955,3457.4067
4906.4097,7484.597
5969.723,8983.31
12638.195,14364.321
4243.59,6419.3833
13919.823,17174.508
2254.7966,4619.6777
5926.846,5365.6953
12592.534,12538.253
2897.3235,5020.34
4738.268,7141.122
37079.37,36767.355
1149.3959,1984.0442
28287.898,14540.381
26109.328,29965.117
7345.084,8103.9834
12731.0,14999.013
11454.021,11636.66
5910.944,5964.2485
4762.329,4241.714
7512.267,8644.237
4032.2407,6295.9375
1969.614,2695.0212
1769.5316,1794.2249
4686.3887,4188.0664
21797.0,12576.997
11881.97,13784.146
11840.775,12078.68
10601.412,11290.187
7682.67,10269.856
10381.479,13178.109
22144.031,32660.234
15230.324,15582.954
11165.418,10666.126
1632.0363,1864.8079
19521.969,21726.79
13224.693,16353.87
12643.378,13565.927
23288.928,8748.791
2201.0972,5526.1353
2497.0383,4121.82
2203.472,3567.2832
1744.465,2923.3813
20878.785,11822.223
25382.297,25563.414
28868.664,34585.902
35147.527,24396.645
2534.3938,3122.302
1534.3044,1691.6785
1824.2854,2965.51
15555.188,19583.52
9304.702,11245.27
1622.1885,3799.825
9880.068,10310.221
9563.029,11569.714
4347.0234,5629.6836
12475.352,11654.722
1253.936,2999.8867
48885.137,42456.75
10461.9795,11950.564
1748.774,3024.8562
24513.092,18210.852
2196.4731,2530.5164
12574.049,12356.848
17942.105,15936.2705
1967.0227,3202.641
4931.647,4658.492
8027.968,7082.8574
8211.101,9973.689
13470.86,13773.838
36197.7,36594.504
6837.3687,7017.7256
22218.115,22118.652
32548.34,25155.61
5974.385,6213.758
6796.8633,8439.259
2643.2686,4195.1123
3077.0955,7506.9985
3044.2134,2916.9363
11455.28,12697.9
11763.001,15905.9
2498.4143,3914.43
9361.327,8005.7075
1256.299,3176.9897
21082.16,27249.262
11362.755,12752.946
27724.29,5813.089
8413.463,10359.644
5240.765,5041.8765
3857.7593,6523.959
25656.576,11133.388
3994.1777,4780.104
9866.305,12797.492
5397.6167,4668.376
38245.594,23115.309
11482.635,3671.9475
24059.68,9218.496
9861.025,11438.958
8342.909,8876.04
1708.0013,2579.288
48675.52,53869.137
14043.477,16588.809
12925.886,14980.363
19214.705,6141.968
13831.115,14704.743
6067.127,8366.621
5972.378,6131.8037
8825.086,10961.547
8233.098,9045.372
27346.043,12714.544
6196.448,6402.772
3056.3882,5069.299
13887.204,16125.815
63770.43,57856.59
10231.5,10786.35
23807.24,27045.055
3268.8467,4873.824
11538.421,12050.176
3213.622,3733.95
45863.203,52461.395
13390.559,13719.751
3972.9248,4591.296
12957.118,11636.361
11187.656,11742.062
17878.9,4826.145
3847.674,5298.243
8334.59,9852.753
3935.18,5891.7266
39983.426,36938.168
1646.4297,1055.4026
9193.839,11001.292
10923.934,13877.651
2494.022,4192.377
9058.73,9618.138
2801.2588,5479.2275
2128.4312,2111.9739
6373.557,10876.353
7256.723,8754.375
11552.904,12032.545
45702.023,49489.812
3761.292,4879.4883
2219.445,4263.088
4753.6367,4257.122
31620.002,16411.504
13224.057,15288.279
12222.898,12540.673
1664.9996,1973.2092
58571.074,46097.41
9724.53,10722.894
3206.4915,2851.6497
12913.992,14272.016
1639.5631,1441.5413
6356.2705,5748.671
17626.24,5953.177
1242.816,2166.46
4779.6025,4767.375
3861.2097,6464.6885
43943.875,32550.3
13635.638,15657.946
5976.831,5850.9385
11842.442,13243.253
8428.069,11338.46
2566.4707,6405.812
15359.1045,16868.863
5709.1646,6563.09
8823.985,11511.941
7640.309,8234.555
5594.8457,11533.858
7441.501,7565.208
33471.973,13511.86
1633.0444,2964.9685
9174.136,9541.721
11070.535,12047.955
16085.128,18397.38
17468.984,24518.324
9283.562,11015.188
3558.6204,3636.0574
25678.78,26366.025
4435.094,7462.8564
39241.44,41293.07
8547.691,9047.763
6571.544,6311.674
2207.6975,3955.711
6753.038,9051.394
1880.07,4173.567
42969.85,41972.332
11658.115,12809.96
23306.547,25405.568
34439.855,30405.043
10713.644,11044.055
3659.346,5029.4004
40182.246,37760.266
9182.17,10216.669
34617.84,34938.31
12129.614,12849.382
3736.4646,3713.0178
6748.5913,7686.2095
11326.715,5841.614
11365.952,12181.206
42983.457,48939.887
10085.846,11231.948
1977.815,3439.3052
3366.6697,4253.9487
7173.36,8412.175
9391.346,8894.247
14410.932,15915.481
2709.1118,4471.273
24915.047,10533.215
20149.322,23380.912
12949.155,16021.212
6666.243,8854.145
32787.457,29051.11
13143.865,14710.618
4466.6216,9247.961
18806.145,9733.452
10141.136,11966.071
6123.569,6998.83
8252.284,9298.913
1712.227,3095.8513
12430.953,15075.755
9800.889,10494.847
10579.711,11209.952
8280.623,10131.554
8527.532,9740.965
12244.531,14456.577
24667.42,23553.324
3410.324,3220.529
4058.7124,6788.0537
26392.26,11868.431
14394.398,13144.658
6435.6235,5891.5967
22192.438,15313.728
5148.5527,10977.472
1136.3994,1876.1472
27037.914,27369.756
42560.43,44220.965
8703.456,9551.81
40003.332,36837.77
45710.207,41962.45
6500.236,6682.285
4837.5825,5044.5605
3943.5955,5155.7153
4399.731,5261.8257
6185.321,6684.048
46200.984,51227.88
7222.786,6414.5684
12485.801,14003.73
46130.527,41575.652
12363.547,15303.305
10156.783,10982.589
2585.269,3842.7625
1242.26,2125.822
40103.89,40518.637
9863.472,9770.601
4766.022,3081.3381
11244.377,12712.742
7729.6455,9016.425
5438.749,6248.946
26236.58,9240.683
34806.47,29964.371
2104.1133,3186.8494
8068.185,8957.747
2362.229,3724.4973
2352.9685,3973.4358
3577.999,6082.3613
3201.245,3910.8743
29186.482,14609.335
40273.645,40144.305
10976.246,11504.14
3500.6123,5169.532
2020.5522,3501.6006
9541.695,13503.8545
9504.311,10376.158
5385.338,7464.2744
8930.935,10529.233
5375.038,5104.336
44400.406,44910.52
10264.442,11768.443
6113.231,10339.364
5469.007,7752.89
1727.54,5409.424
10107.221,12136.328
8310.839,8773.843
1984.4532,2422.3064
2457.502,3012.6438
12146.971,11925.609
9566.991,11437.651
13112.6045,17062.2
10848.135,12811.055
12231.613,12624.361
9875.681,12075.476
11264.541,13161.596
12979.358,13316.925
1263.249,1091.9868
10106.134,10212.216
40932.43,42474.797
